max_rpm,dampRateFullT,dampRateZero_CE,dampRateZero_CD,gearSwitchTime,clutchStrength,mass,dragCoeff,tireFric,dampRate,radius,maxBrakeTorque,percent,SaftyDegree,TET,TIT,dece,JerkViolation,JerkExceededArea,avgJerk,yaw
5153.436,0.178,2.76,0.238,0.378,10,2162.57,0.251,2.233,0.278,33.57,1223.952,,2.0559985,0.417,0.5,5.239,0.3,6.50511,18.44783,"[94.853, 94.831, 94.829, 94.829, 94.829, 94.829, 94.829, 94.829, 94.831, 94.83, 94.83, 94.83, 94.83, 94.83, 94.83, 94.83, 94.83, 94.832, 94.83, 94.815, 94.803, 94.744, 94.583, 94.384, 94.059, 93.69, 93.29, 92.796, 92.249, 91.608, 90.805, 90.044, 89.233, 88.725, 88.25, 87.399, 86.811, 86.055, 85.009, 84.144, 83.579, 83.27, 83.038, 82.888, 82.772, 82.722, 82.669, 82.645, 82.676, 82.786, 82.977, 83.473, 84.223, 84.61, 84.79, 84.846, 84.859, 84.993]"
4547.581,0.175,1.907,0.32,0.54,10.813,2211.33,0.346,2.366,0.219,35.5,1415.353,,9.735301019,0,0,5.576,0.9,11.87212,9.62613,"[96.636, 95.567, 94.492, 93.393, 92.415, 91.181, 89.637, 88.375, 87.808, 87.688, 87.577, 87.218, 86.806, 86.407, 85.921, 85.688, 85.568, 85.547, 85.556, 85.586, 85.624, 85.685, 85.772, 85.848, 85.97, 86.06, 86.149, 86.346, 86.653, 87.01, 87.38, 87.831]"
5153.436,0.178,2.76,0.238,0.378,10.486,2162.57,0.251,2.233,0.278,33.57,1223.952,,2.133583939,0.514,0.6,4.826,0.3,10.02968,22.18702,"[98.081, 98.081, 98.081, 98.081, 98.081, 98.081, 98.081, 98.081, 98.074, 98.071, 98.07, 98.07, 98.07, 98.07, 98.07, 98.07, 98.07, 98.07, 98.07, 98.07, 98.073, 98.073, 98.061, 98.047, 97.99, 97.867, 97.655, 97.384, 97.004, 96.56, 96.1, 95.601, 95.02, 94.364, 93.614, 92.722, 91.774, 90.74, 89.828, 89.151, 88.832, 88.71, 88.285, 87.35, 86.594, 86.075, 85.376, 84.737, 84.187, 83.853, 83.726, 83.594, 83.377, 83.173, 83.085, 83.027, 82.981, 82.966, 82.976, 83.122, 83.286, 83.628]"
5153.436,0.178,2.76,0.238,0.378,10,2075.813,0.251,2.233,0.278,33.57,1223.952,,2.590532297,0.222,0.35,4.32,0.2,9.02765,38.28095,"[99.904, 99.904, 99.904, 99.911, 99.915, 99.914, 99.914, 99.914, 99.914, 99.914, 99.914, 99.914, 99.914, 99.914, 99.914, 99.914, 99.914, 99.914, 99.917, 99.917, 99.908, 99.893, 99.83, 99.713, 99.534, 99.241, 98.843, 98.319, 97.756, 97.144, 96.347, 95.461, 94.598, 93.878, 93.037, 92.124, 91.224, 90.032, 88.592, 87.28, 86.454, 85.876, 84.964, 84.051, 83.194, 82.776, 82.654, 82.551, 82.48, 82.46, 82.453, 82.459, 82.469, 82.596, 83.108, 83.978, 84.485, 84.754, 84.846, 84.909, 85.022, 85.172, 85.481]"
5751.0401,0.1387,1.0745,0.3346,0.4378,9.701,2384.0562,0.28,2.0389,0.2302,31.7009,1205.1309,,-4.124943581,0,0,3.576,0.65,10.85929,18.11067,
5779.3804,0.1538,1.0808,0.2251,0.4641,10.043,2401.6357,0.2699,1.8825,0.2489,31.8048,1204.1224,,-4.122674129,0,0,3.734,0.7,10.95834,16.05186,
5390.0358,0.1408,1.0408,0.3503,0.4397,9.8495,2393.7328,0.2736,1.6763,0.2101,33.1363,1202.5706,,-3.822619129,0,0,3.629,0.7,7.33872,12.29822,
5140.1265,0.1382,1.0031,0.3469,0.4285,9.6733,2392.2475,0.2737,1.487,0.2114,33.3314,1203.6509,,-3.75449197,0,0,3.549,0.75,11.06616,17.35489,
5811.8332,0.15,1.1263,0.2326,0.4652,10.0245,2550.5237,0.2972,1.9777,0.2547,31.7276,1219.9894,,-3.729889737,0,0,3.591,0.75,10.7966,16.99546,
5802.9575,0.1451,1.1101,0.2766,0.4809,9.6417,2384.7838,0.281,1.6994,0.2566,31.8119,1200.6466,,-3.660178392,0,0,3.705,0.65,7.58624,13.31571,
5789.4913,0.1536,1.0744,0.2428,0.5194,9.9813,2394.666,0.2838,1.8785,0.2451,31.8345,1203.8968,,-3.621545082,0,0,3.855,0.7,7.57261,13.41802,
5268.7255,0.1533,1.0346,0.3664,0.4629,9.9645,2394.4312,0.3002,1.7086,0.2526,33.6334,1217.8942,,-3.611084775,0,0,3.766,0.7,7.65236,12.79056,
5371.0504,0.1398,1.0043,0.231,0.4885,10.2565,2411.2314,0.292,1.4613,0.2619,32.9923,1508.6557,,-3.539378155,1.754,1.2,4.337,0.7,8.40267,13.73363,
5076.824,0.1437,1.0022,0.2697,0.4631,9.8936,2381.1595,0.273,1.4276,0.2116,35.0467,1330.9177,,-3.457402752,0,0,3.904,0.75,7.07336,12.03115,
5390.0358,0.1408,1.0424,0.3469,0.4399,9.6847,2393.7328,0.2736,1.6763,0.2107,33.1401,1205.2107,,-3.443093197,0,0,3.723,0.65,7.64959,12.75057,
5814.9134,0.1409,1.1624,0.3267,0.4806,9.6651,2418.4805,0.2757,2.0375,0.2391,31.7003,1202.1387,,-3.257825604,0,0,3.989,0.75,9.04486,13.81004,
5494.7394,0.1509,1.0407,0.3647,0.4784,9.6852,2393.5889,0.2737,1.8491,0.2471,32.4731,1206.0919,,-3.214930858,2.57,1.65,3.765,0.65,7.28154,12.93365,
5754.2377,0.1461,1.0673,0.2076,0.5012,9.6383,2410.5961,0.2774,1.8611,0.2572,31.7828,1200.5485,,-3.188293995,1.088,0.85,3.82,0.7,7.50923,11.93113,
5095.9488,0.1609,1.0053,0.2636,0.5138,10.3968,2395.8531,0.2406,1.475,0.2435,35.5644,1218.9685,,-3.108843403,1.101,0.85,3.78,0.7,7.0111,11.89254,
4924.5054,0.1556,1.0028,0.2776,0.4268,10.0165,2579.8284,0.2677,1.3829,0.2359,35.7108,1227.1812,,-3.087389207,0,0,3.332,0.55,6.58253,11.8764,
5167.0385,0.1414,1.0042,0.3737,0.4738,9.6603,2408.5151,0.2689,1.4582,0.2132,34.3271,1211.7798,,-3.078645139,0,0,3.615,0.65,7.49359,13.22974,
5140.1265,0.1382,1.0031,0.3469,0.4285,9.6733,2392.2475,0.2737,1.487,0.2114,33.2829,1203.6509,,-3.035419198,0,0,3.44,0.55,16.96479,23.06952,
